0212600, 10417, Q4 2014 Marchon	- Volume & Growth, 390.2469, 00000007E, 31
0213600, 10418, Q4 2014 Marchon	- Volume & Growth, 1114.7656, 00000007E, 31
0214302, 10450, Q4 2014 Marchon	- Volume & Growth, 202.5306, 00000007E, 31
0215400, 10419, Q4 2014 Marchon	- Volume & Growth, 416.2395, 00000007E, 31
0215600, 10420, Q4 2014 Marchon	- Volume & Growth, 356.8260, 00000007E, 31
0220600, 10421, Q4 2014 Marchon	- Volume & Growth, 484.6560, 00000007E, 31
0223100, 10422, Q4 2014 Marchon	- Volume & Growth, 344.1432, 00000007E, 31
0224700, 10423, Q4 2014 Marchon	- Volume & Growth, 527.1390, 00000007E, 31
0225200, 10424, Q4 2014 Marchon	- Volume & Growth, 529.7181, 00000007E, 31
0227900, 10425, Q4 2014 Marchon	- Volume & Growth, 374.9190, 00000007E, 31
0228800, 10426, Q4 2014 Marchon	- Volume & Growth, 431.3331, 00000007E, 31
0231700, 10427, Q4 2014 Marchon	- Volume & Growth, 416.7836, 00000007E, 31
0233200, 10428, Q4 2014 Marchon	- Volume & Growth, 484.6458, 00000007E, 31
0233400, 10429, Q4 2014 Marchon	- Volume & Growth, 451.7850, 00000007E, 31
0236100, 10430, Q4 2014 Marchon	- Volume & Growth, 574.1094, 00000007E, 31
0238300, 10431, Q4 2014 Marchon	- Volume & Growth, 655.7367, 00000007E, 31
0239000, 10432, Q4 2014 Marchon	- Volume & Growth, 345.8889, 00000007E, 31
0239400, 10433, Q4 2014 Marchon	- Volume & Growth, 1244.7600, 00000007E, 31
0239600, 10434, Q4 2014 Marchon	- Volume & Growth, 1437.5984, 00000007E, 31
0240500, 10435, Q4 2014 Marchon	- Volume & Growth, 403.4812, 00000007E, 31
0241900, 10436, Q4 2014 Marchon	- Volume & Growth, 450.4215, 00000007E, 31
0245100, 10437, Q4 2014 Marchon	- Volume & Growth, 789.9441, 00000007E, 31
0246800, 10438, Q4 2014 Marchon	- Volume & Growth, 460.0263, 00000007E, 31
0250900, 10440, Q4 2014 Marchon	- Volume & Growth, 357.8064, 00000007E, 31
0251400, 10441, Q4 2014 Marchon	- Volume & Growth, 341.8242, 00000007E, 31
0252300, 10442, Q4 2014 Marchon	- Volume & Growth, 496.1973, 00000007E, 31
0252500, 10443, Q4 2014 Marchon	- Volume & Growth, 1055.2332, 00000007E, 31
0254100, 10444, Q4 2014 Marchon	- Volume & Growth, 365.8902, 00000007E, 31
